RowID,Surface lot / Garage,Phone Number,Height Restriction,Hours Of Operation,Daily Rate,Event Rate,Payment Method,Number of Spaces,Location 1
1,G,816-221-5564,"6 '6""",24 Hours,$1-$12,$7-$10,Cash & CC,975,"1220 Wyandotte
Kansas City, MO 64105
(39.0988102070005, -94.58565028899966)"
2,G,816-218-2037,"8' 2""",24 Hours,$1-$12,$7,Cash & CC,1008,"1621 Broadway St
Kansas City, MO 64105
(39.09433432300045, -94.58865292199965)"
3,G,816-221-5564,"8' 2""",24 Hours,Monthly Only,$7-$20,Cash ,990,"1601 Stateline Rd
Kansas City, MO 64102
(39.08605065400047, -94.60721866399967)"
4,G,816-221-5564,"8' 4""",24 Hours,Monthly Only,$2-$7,Cash,375,"300 Wyandotte
Kansas City, MO 64105
(39.10927687600048, -94.58581169199965)"
5,S,816-221-5564,No Clearance Restrictions,24 Hours,$3,$5-$20,Cash,142,"1520 Baltimore Rd
Kansas City, Mo 64105
(39.096103163000464, -94.58450973399965)"
6,S,877-717-0004,No Clearance Restrictions,24 Hours,$3-$9,$5-$20,Cash,98,"601 11th St
Kansas City, MO 64106
(39.10086066300045, -94.57605178399967)"
7,G,816-471-1883,"6' 8""",6AM-9PM M-F,$1-$12,,Cash & CC,1325,"2345 Grand Blvd
Kansas City, MO 64108
(39.08482034700046, -94.58166108699965)"
8,S,816-471-1883,No Clearance Restrictions,6AM - 8PM M-F,Private Lot,,,328,"206 20th St
Kansas City, MO 64108
(39.0892117840005, -94.58631755699969)"
9,S,816-474-6330,No Clearance Restrictions,24 Hours,$3-$9,$5-$20,Cash & CC,184,"1130 Holmes Road
Kansas City, MO 64106
(39.100455773000476, -94.57506183399965)"
10,G,816-545-2667,"6' 5""",24 Hours,$6-$15,,Cash & CC,455,"1 Pershing Rd
Kansas City, Mo 64108
(39.083890934000465, -94.58422978199968)"
11,G,816-545-2667,"6' 4""",6AM -11PM M-TR / 6AM - 12:00AM F / Sat and Sun 24 Hours,$6-$15,,Cash & CC,983,"2450 Grand Blvd
Kansas City, MO 64108
(39.08256072100045, -94.58180051399967)"
12,G,816-274-4040,"6' 5""",24 Hours,$6-$15,,Cash & CC,1908,"2425 Grand Blvd
Kansas City, MO 64108
(39.08228794600046, -94.5818335139997)"
13,S,816-274-4040,No Clearance Restrictions,7AM - 6PM,Monthly Only,,,318,"1914 Cherry St
Kansas City, MO 64108
(39.089966184000446, -94.57672408299965)"
14,G,816-474-6330,"8' 2""",24 Hours,$4-$10,$5,Cash & CC,485,"106 10th St
Kansas City, MO 64105
(39.10226014000045, -94.58483101699966)"
15,G,816-474-6330,6',5AM - 7PM,$1-$14,,Cash & CC,719,"920 Main St
Kansas City, MO 64105
(39.10327379800049, -94.58313062199966)"
16,S,816-474-6330,No Clearance Restrictions,24 Hours,$3,$3,Cash,276,"800 Charlotte
Kansas City, MO 64106
(39.10409186600049, -94.57375723699965)"
17,G,816-474-6330,"8' 0""",6AM - 7PM M-F/ Sat and Sun 24 HR,Private Lot,,,610,"500 8th St
Kansas City, MO
(39.10430083300048, -94.57693096799966)"
18,G,816-474-6330,"6' 2""",24 Hours,$2-$8,,Cash,293,"117 9th St
Kansas City, MO 64105
(39.1036405750005, -94.58507069199965)"
19,G,816-274-4040,"6' 6""",24 Hours,Private Lot,,,437,"2510 Grand Blvd
Kansas City, MO 64108
(39.081292127000495, -94.58248280299966)"
20,G,816-398-4653,"7' 0""",24 Hours,$19,$9,Cash & CC,131,"2345 McGee St
Kansas City, MO 64108
(39.085020844000496, -94.58049036899968)"
21,S,816-398-4653,"6' 8""",24 Hours,$6-$15,,Cash & CC,719,"2200 Gillham Rd
Kansas City, MO 64108
(39.086110230000486, -94.5790084839997)"
22,G,816-274-4040,"6' 6""",7AM - 6PM M-F / 7AM - 1PM Sat,$6-$15,,Cash & CC,673,"2600 Grand Blvd
Kansas City, MO 64108
(39.079329439000446, -94.5832022889997)"
23,G,816-398-4653,"6' 8""",24 Hours,$6-$15,,Cash & CC,528,"2301 McGee St
Kansas City, MO 64108
(39.085940365000454, -94.58044082099968)"
24,G,816-274-4040,"7' 2""",6:30AM - 7PM,$6-$15,,Cash & CC,2700,"2575 Warwick
Kansas City, MO 64108
(39.08507049800045, -94.58158994599967)"
25,S,816-274-4040,No Clearance Restrictions,Closed for Tenant Priority,Private Lot,,,234,"2720 Gillham Rd
Kansas City, MO 64108
(39.077166975000466, -94.57860397699966)"
26,G,816-421-4666,"6' 2""",6AM - 7PM M-F/  Sun Closed,$1-$15,,Cash & CC,325,"1100 Main St
Kansas City, MO 64105
(39.100070804000495, -94.58316020699965)"
27,S,877-717-0004,No Clearance Restrictions,24 Hours,$3,$3,Cash,175,"1030 Holmes Rd
Kansas City, MO 64106
(39.101674552000475, -94.5750145889997)"
28,G,816-474-6330,"7' 1""",24 Hours,$2-$15,$3-$10,Cash & CC,238,"1110 Baltimore
Kansas City, MO 64105
(39.10070703300045, -94.58428147999967)"
29,S,816-471-7275,Surface Lot,24 Hours,N/A,$10-30,Cash Only,48,
30,G,816-471-7275,7',6 AM - 6PM,N/A,$10-30,Cash Only,173,
31,S,816-471-7275,Surface Lot,24 Hours,$5.00 ,$10-30,Cash Only,80,
32,S,816-471-7275,Surface Lot,24 Hours,$4.00 ,$10-30,Cash Only,108,
33,S,816-471-7275,Surface Lot,24 Hours,N/A,$10-30,Cash Only,43,
34,S,816-471-7275,Surface Lot,24 Hours,$3.50 ,$10-30,Cash Only,30,
35,S,816-471-7275,Surface Lot,24 Hours,N/A,$10-30,Cash Only,30,
36,S,816-471-7275,Surface Lot,24 Hours,$5.00 ,$10-30,Cash Only,94,
37,G,816-472-5997,"6'5""",6AM - 6 PM,$4.00 ,$10-30,Cash Only,175,
38,G,816-471-7275,Surface Lot,24 Hours,Quality Hill Tenants Only,n/a,n/a,140,
39,G,816-329-2204,7',24 Hours,$10 ,$10-30,Cash & CC,1245,
40,G,816-471-7275,7',5 AM - 8 PM,Commerce Employees and tenents only,n/a,Cash & CC,624,
41,G,816-471-7275,7',,Commerce Employees and tenents only,n/a,Cash & CC,548,
42,S,816-471-7275,Surface Lot,24 Hours,$5.00 ,$10-30,Cash Only,57,
43,S,816-471-7275,Surface Lot,24 Hours,N/A,$10-30,Cash Only,78,
44,S,816-471-7275,Surface Lot,24 Hours,N/A,$10-30,Cash Only,70,
45,S,816-471-7275,Surface Lot,24 Hours,N/A,$10-30,Cash Only,160,
46,G,816-471-7275,"6'6""",24 Hours,$1-10,$10-30,Cash & CC,526,
47,S,816-471-7275,Surface Lot,24 Hours,Commerce Employees and tenents only,n/a,n/a,136,
48,S,816-471-7275,Surface Lot,24 Hours,Commerce Employees and tenents only,n/a,n/a,118,
49,G,816-471-0843,7',24 Hours,$1-15,$10-30,Cash & CC,472,
50,G,816-471-0843,7',24 Hours,$15 No Daytime Event,$10-30,Cash & CC,2008,"1211 Walnut
"
51,G,816-471-0843,Surface Lot,24 Hours,$5,$10-30,Cash & CC,165,"1209 Grand
"
52,S,816-471-7275,Surface Lot,24 Hours,N/A,n/a,n/a,100,
53,S,816-471-7275,Surface Lot,24 Hours,Commerce Employees and tenents only,n/a,n/a,206,
54,G,816-472-5997,"8'2""",24 Hours,$12,$10-30,Cash & CC,1395,
55,S,816-471-7275,Surface Lot,24 Hours,N/A,n/a,n/a,112,
56,S,816-471-7275,Surface Lot,24 Hours,Commerce Employees and tenents only,n/a,n/a,251,
57,S,816-471-7275,Surface Lot,24 Hours,$3.50 ,n/a,n/a,40,
58,G,816-860-7147,7'2'',6 AM - 6PM,UMB Employees Only,n/a,n/a,300,
59,G,816-860-7147,6'8'',6 AM - 6PM,UMB Employees Only,n/a,n/a,125,
60,G,816-860-7147,7'3'',6 AM - 6PM,UMB Employees Only,n/a,n/a,504,
61,G,816-860-7147,Surface Lot,6 AM - 6PM,UMB Employees Only,n/a,n/a,64,
62,G,816-860-7147,Surface Lot,6 AM - 6PM,UMB Employees Only,n/a,n/a,93,
63,G,816-860-7147,Surface Lot,6 AM - 6PM,UMB Employees Only,n/a,n/a,8,
64,G,816-471-7941,"6"" Low Clearance",24 Hours,Hotel Guests only,n/a,n/a,365,
65,S,816-471-7275,Surface Lot,24 Hours,$3,n/a,n/a,28,
66,G,816-471-7941,7',24 Hours,N/A,$10-30,Cash & CC,1000,
67,G,816-472-5997,7',24 Hours,$15,$10-30,Cash & CC,770,
68,G,816-471-7941,7',24 Hours,Hotel Guests only,$10-30,n/a,129,
69,G,816-471-7941,7',24 Hours,Evening Parking only $2 or up to $15,$10-30,Cash & CC,1000,
70,S,816-471-0843,Surface Lot,24 Hours,$5,$10-30,Cash & CC,147,
71,G,816-471-7275,"6'8""",6 AM - 6PM,$12,$10-30,Cash Only,350,
72,G,816-471-7941,7',24 Hours,$15,n/a,Cash & CC,780,
73,S,,,,$3.00,,,52,
74,S,,,,$3.00,,,122,
75,S,,,,$3.00,,,,
76,S,,,,$3.00,,,275,
77,S,,,,$3.00,,,,
78,S,,,,$3.00,,,,
79,S,,,,$5.00,,,315,
80,S,,,,$5.00,,,,
81,S,,,,$5.00,,,98,
82,S,,,,$5.00,,,134,
83,S,,,,$5.00,,,26,
84,S,,,,$5.00,,,150,
85,S,,,,$5.00,,,,
86,S,,,,$5.00,,,,
87,S,,,,$5.00,,,,
88,S,,,,$5.00,,,,
89,S,,,,$5.00,,,,
90,S,,,,$5.00,,,,
91,S,,,,$5.00,,,,
92,S,,,,$4.00,,,108,
93,S,,,,$4.00,,,,
94,S,,,,$5-$10,,,30,
95,S,,,,$5.00,,,83,
96,S,,,,$5-$10,,,69,
97,S,,,,$5.00,,,62,
98,S,,,,$5.00,,,,
99,S,,,,$5-$10,,,58,
100,S,,,,$5-$10,,,66,
101,S,,,,$1.25,,,64,
102,S,,,,$2.00,,,86,
103,S,,,,$2.00,,,,
104,S,,,,,,,,
105,S,,,,,,,,
106,S,,,,,,,36,
107,S,,,,$5.00,,,126,
108,S,,,,$3.25,,,66,
109,S,,,,$4.00,,,18,
110,S,,,,$3.00,,,272,
111,S,,,,$2.10,,,44,
112,S,,,,$3.75,,,31,
113,S,,,,$3.00,,,80,
114,S,,,,$3.00,,,179,
115,S,,,,$3.00,,,,
116,S,,,,$3.00,,,68,
117,S,,,,$6-$12,,,117,
118,S,,,,$6-$12,,,,
119,S,,,,$3.00,,,50,
120,S,,,,$3.00,,,,
121,S,,,,$5.00,,,103,
122,S,,,,$5.00,,,,
123,S,,,,$5.00,,,,
124,S,,,,$5.00,,,,
125,S,,,,$5.00,,,,
126,S,,,,$5.00,,,34,
127,S,,,,$5.00,,,81,
128,S,,,,$5.00,,,,
129,S,,,,$3.00,,,30,
130,S,,,,,,,258,
131,S,,,,,,,,
132,S,,,,,,,56,
133,S,,,,$3.00,,,48,
134,S,,,,$3.00,,,,
135,S,,,,$5.00,,,40,
136,S,,,,$5.00,,,88,
137,S,,,,$5.00,,,57,
138,S,,,,$5.00,,,,
139,S,,,,$5.00,,,,
140,S,,,,$5.00,,,,
141,S,,,,$3.00,,,140,
142,S,,,,,,,27,
143,S,,,,,,,100,
144,S,,,,,,,91,
145,S,,,,,,,22,
146,S,,,,,,,160,
147,S,,,,,,,71,
148,S,,,,,,,,
149,S,,,,,,,,
150,S,,,,$2-$10,,,281,
